bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
5,0.55,28,3,-15.483588,-15.791919,0.308331,0.061358
5,0.55,28,4,-20.093917,-20.498422,0.404505,0.077306
5,0.55,29,0,-1.177559,-2.193674,1.016115,0.175327
5,0.55,29,1,-12.798984,-13.285619,0.486635,0.103722
5,0.55,29,2,-10.58436,-12.592527,2.008167,0.369685
5,0.55,29,3,-18.307457,-18.779857,0.4724,0.079196
5,0.55,29,4,-24.062434,-24.670539,0.608105,0.097644
6,0.65,2,0,0.110699,0.097357,0.013342,0.076412
6,0.65,2,1,-0.364191,-0.440547,0.076356,0.226742
6,0.65,2,2,-0.508053,-0.504135,-0.003918,-0.020259
6,0.65,2,3,-0.535886,-0.571081,0.035195,0.137163
6,0.65,2,4,-0.906107,-0.945065,0.038958,0.130514
6,0.65,22,0,-0.651841,-0.724486,0.072645,0.045133
6,0.65,22,1,-4.522118,-4.818357,0.296239,0.118008
6,0.65,22,2,-4.513503,-5.087049,0.573546,0.255001
6,0.65,22,3,-7.655549,-7.64199,-0.013559,-0.004531
6,0.65,22,4,-9.73121,-9.782555,0.051345,0.013588
6,0.65,26,0,-1.562209,-1.871492,0.309283,0.087115
6,0.65,26,1,-8.095737,-8.633633,0.537896,0.161391
6,0.65,26,2,-7.124632,-8.16652,1.041888,0.296356
6,0.65,26,3,-11.894444,-11.866106,-0.028338,-0.006891
6,0.65,26,4,-15.331382,-15.418111,0.086729,0.018365
6,0.65,28,0,-1.814032,-2.383302,0.56927,0.115084
6,0.65,28,1,-10.988361,-11.658174,0.669813,0.154408
6,0.65,28,2,-9.754038,-11.334293,1.580255,0.330635
6,0.65,28,3,-15.503858,-15.732707,0.228849,0.041071
6,0.65,28,4,-20.067903,-20.426675,0.358772,0.057742
6,0.65,29,0,-1.322262,-2.186329,0.864067,0.150449
6,0.65,29,1,-12.702033,-13.35428,0.652247,0.129296
6,0.65,29,2,-10.574614,-12.619756,2.045142,0.366263
6,0.65,29,3,-18.343372,-18.7764,0.433028,0.067678
6,0.65,29,4,-24.059227,-24.66482,0.605593,0.085809
7,0.75,2,0,0.112262,0.099292,0.01297,0.075176
7,0.75,2,1,-0.371566,-0.444609,0.073043,0.219423
7,0.75,2,2,-0.508004,-0.505447,-0.002557,-0.013472
7,0.75,2,3,-0.534294,-0.568325,0.034031,0.133783
7,0.75,2,4,-0.904155,-0.942205,0.03805,0.128996
