layer,metric,target,n,rho_pooled,rho_within_domain,p_perm_within_domain_rho,p_estimand,rho_partial_n_examples_pooled,rho_partial_n_examples_within_domain,p_perm_within_domain_partial,n_domains,identified
24,logit_lens_boombness,comprehension,72,0.05819,0.107708,0.384308,rho_within_domain,,,,6,yes
24,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
24,direction_boombness,asr_score,72,0.088437,-0.185127,0.11994,rho_within_domain,0.017583,-0.199086,,6,yes
24,direction_boombness,refusal,72,-0.020274,-0.002057,0.986507,rho_within_domain,,,,6,yes
24,direction_boombness,n_examples,72,0.049725,0.040305,0.741629,rho_within_domain,,,,6,yes
24,direction_boombness,comprehension,72,0.341701,0.07797,0.536232,rho_within_domain,,,,6,yes
24,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
24,probe_boombness,asr_score,72,0.204718,0.132055,0.232884,rho_within_domain,-0.093999,-0.081006,,6,yes
24,probe_boombness,refusal,72,-0.477984,-0.403723,0.001499,rho_within_domain,,,,6,yes
24,probe_boombness,n_examples,72,0.493956,0.476642,0.0005,rho_within_domain,,,,6,yes
24,probe_boombness,comprehension,72,0.518246,0.38876,0.001499,rho_within_domain,,,,6,yes
24,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
28,logit_lens_boombness,asr_score,72,0.151653,0.068384,0.58021,rho_within_domain,-0.129615,-0.051552,,6,yes
28,logit_lens_boombness,refusal,72,-0.368966,-0.22518,0.073963,rho_within_domain,,,,6,yes
28,logit_lens_boombness,n_examples,72,0.490866,0.440839,0.0005,rho_within_domain,,,,6,yes
28,logit_lens_boombness,comprehension,72,0.183493,0.300899,0.008996,rho_within_domain,,,,6,yes
28,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
28,direction_boombness,asr_score,72,0.132283,-0.140556,0.255872,rho_within_domain,-0.026926,-0.229037,,6,yes
28,direction_boombness,refusal,72,-0.25174,-0.133882,0.216892,rho_within_domain,,,,6,yes
28,direction_boombness,n_examples,72,0.264676,0.216005,0.05947,rho_within_domain,,,,6,yes
28,direction_boombness,comprehension,72,0.364568,0.072535,0.548726,rho_within_domain,,,,6,yes
28,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
28,probe_boombness,asr_score,72,0.131308,0.122764,0.248376,rho_within_domain,-0.137244,-0.10914,,6,yes
28,probe_boombness,refusal,72,-0.442515,-0.380307,0.001999,rho_within_domain,,,,6,yes
28,probe_boombness,n_examples,72,0.513135,0.518906,0.0005,rho_within_domain,,,,6,yes
28,probe_boombness,comprehension,72,0.32684,0.398601,0.0005,rho_within_domain,,,,6,yes
28,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
31,logit_lens_boombness,asr_score,72,0.212964,0.139016,0.216892,rho_within_domain,-0.102155,-0.072395,,6,yes
31,logit_lens_boombness,refusal,72,-0.47052,-0.402935,0.001,rho_within_domain,,,,6,yes
31,logit_lens_boombness,n_examples,72,0.645995,0.706555,0.0005,rho_within_domain,,,,6,yes
31,logit_lens_boombness,comprehension,72,0.317564,0.437246,0.001,rho_within_domain,,,,6,yes
31,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
31,direction_boombness,asr_score,72,0.2764,0.148615,0.209895,rho_within_domain,0.073673,-0.05398,,6,yes
31,direction_boombness,refusal,72,-0.321011,-0.219512,0.049475,rho_within_domain,,,,6,yes
31,direction_boombness,n_examples,72,0.503512,0.527881,0.0005,rho_within_domain,,,,6,yes
31,direction_boombness,comprehension,72,0.241895,0.127222,0.318841,rho_within_domain,,,,6,yes
31,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
31,probe_boombness,asr_score,72,0.075273,0.082453,0.411794,rho_within_domain,-0.214704,-0.154367,,6,yes
31,probe_boombness,refusal,72,-0.520209,-0.438886,0.001,rho_within_domain,,,,6,yes
31,probe_boombness,n_examples,72,0.538968,0.540038,0.0005,rho_within_domain,,,,6,yes
31,probe_boombness,comprehension,72,0.301207,0.396044,0.0005,rho_within_domain,,,,6,yes
31,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
