prompt_type,time_point,layer,rank,n,mean,std
puzzle_attack,endofthink,23,0,129,10.161695,0.941883
puzzle_attack,endofthink,23,1,129,-2.660734,8.761159
puzzle_attack,endofthink,23,2,129,-3.229406,11.9028
puzzle_attack,endofthink,23,3,129,-10.589673,6.882702
puzzle_attack,endofthink,23,4,129,1.668298,10.214936
puzzle_attack,endofthink,26,0,129,11.487455,1.093595
puzzle_attack,endofthink,26,1,129,-1.189355,8.441643
puzzle_attack,endofthink,26,2,129,-4.184043,11.619066
puzzle_attack,endofthink,26,3,129,-10.200083,17.492352
puzzle_attack,endofthink,26,4,129,2.846096,9.961977
puzzle_attack,startofthink,3,0,129,2.239644,0.366116
puzzle_attack,startofthink,3,1,129,-0.348155,0.072966
puzzle_attack,startofthink,3,2,129,0.166152,0.060839
puzzle_attack,startofthink,3,3,129,0.086107,0.074262
puzzle_attack,startofthink,3,4,129,-0.348372,0.071403
puzzle_attack,startofthink,21,0,129,8.24217,0.50428
puzzle_attack,startofthink,21,1,129,-5.548979,1.489861
puzzle_attack,startofthink,21,2,129,-1.8233,0.755218
puzzle_attack,startofthink,21,3,129,-2.869734,0.535695
puzzle_attack,startofthink,21,4,129,-4.708408,1.279849
puzzle_attack,startofthink,22,0,129,5.558927,0.650109
puzzle_attack,startofthink,22,1,129,-3.451198,1.377175
puzzle_attack,startofthink,22,2,129,-3.090429,1.581278
puzzle_attack,startofthink,22,3,129,-2.628365,1.114949
puzzle_attack,startofthink,22,4,129,-3.014603,1.586658
puzzle_attack,startofthink,23,0,129,5.813615,0.641967
puzzle_attack,startofthink,23,1,129,-3.713011,1.440424
puzzle_attack,startofthink,23,2,129,-3.617604,1.706504
puzzle_attack,startofthink,23,3,129,-3.099272,1.117109
puzzle_attack,startofthink,23,4,129,-3.260212,1.647361
puzzle_attack,startofthink,26,0,129,6.156094,0.726701
puzzle_attack,startofthink,26,1,129,-4.887569,1.396408
puzzle_attack,startofthink,26,2,129,-3.128858,1.719673
puzzle_attack,startofthink,26,3,129,-7.439754,2.080934
puzzle_attack,startofthink,26,4,129,-4.152689,1.622425
