layer,progress_bin,bin_start_fraction,bin_end_fraction,subset,n_success,n_failure,success_mean,failure_mean,success_std,failure_std,mean_difference,cohen_d,hedges_g,success_ci_low,success_ci_high,failure_ci_low,failure_ci_high,mann_whitney_u,mann_whitney_p,permutation_p,bootstrap_ci_low,bootstrap_ci_high,mann_whitney_q_bh,n_judge_success,n_judge_failure,judge_success_mean,judge_failure_mean
9,7,0.7,0.8,excl_censored,19,21,2.675605079407756,2.2722796437399047,0.3188790583930754,0.2618854589531215,0.4033254356678513,1.3894325719962632,1.361827951360576,2.536198503281803,2.8097483865633177,2.1712292333467005,2.399095066691786,326.0,0.0006435112724156713,0.00039996000399960006,0.21886916350884886,0.5706826311553328,0.003193251064842001,4,36,2.4429592186119504,2.4661814486899325
9,8,0.8,0.9,all,19,22,2.7007652452965503,2.3013826674935647,0.33829152733270584,0.2501482059769112,0.3993825778029856,1.3578413930113746,1.3315605918563156,2.547347441879758,2.8417320557464194,2.2077555165231457,2.4083188485371037,339.0,0.0007099870380201763,0.0004999500049995,0.2072013197260517,0.5747776114369574,0.002513228453168766,4,37,2.5124175681704015,2.483656434400304
9,8,0.8,0.9,excl_censored,19,21,2.7007652452965503,2.3109196437736137,0.33829152733270584,0.2521939644964981,0.38984560152293657,1.3165381725333254,1.2903817849995507,2.54571111483453,2.835183333571281,2.203379073873444,2.425470311555781,322.0,0.0009523299145770314,0.0008999100089991,0.1996976161478183,0.564132110908009,0.003283896257162177,4,36,2.5124175681704015,2.4942828307555205
9,9,0.9,1.0,all,19,22,2.706998055936257,2.363372421991876,0.25193322161664355,0.24115479638284346,0.34362563394438084,1.395784912709324,1.368769720850434,2.5951565624967787,2.8027410026024038,2.269020693303479,2.4693217988073566,346.0,0.0003587519020525188,9.999000099990002e-05,0.19102004296468594,0.4822897979633667,0.0020211374763522186,4,37,2.59036046246779,2.515289580992946
9,9,0.9,1.0,excl_censored,19,21,2.706998055936257,2.370916392455258,0.25193322161664355,0.24443559925312305,0.3360816634809991,1.355084071228744,1.3281618711381067,2.586678518420778,2.806971504312012,2.2733927713913684,2.4721666426367115,329.0,0.000476141421532243,0.00029997000299970003,0.18248973147175152,0.47879181640953616,0.0027208081230413886,4,36,2.59036046246779,2.5239101515132814
10,0,0.0,0.1,all,19,22,3.037155314713404,2.493904355516922,0.383807390772888,0.3703553182702681,0.5432509591964823,1.4424238146497175,1.4145059343661746,2.852847887665015,3.1874018030855376,2.3589998793637674,2.653033946761475,351.0,0.0002160881239189897,0.00019998000199980003,0.30396587069463293,0.7598636331098361,0.0017639846850529771,4,37,2.773744184266514,2.742618109834077
10,0,0.0,0.1,excl_censored,19,21,3.037155314713404,2.50226445941994,0.383807390772888,0.3773681557427774,0.5348908552934639,1.4060094505686935,1.3780754879746135,2.8485181505737462,3.1936232979275885,2.3560325326295506,2.6639216237625467,333.0,0.00031557506851314537,0.00029997000299970003,0.30108466907066495,0.7660927134118989,0.0026423869060276874,4,36,2.773744184266514,2.754403552508537
10,1,0.1,0.2,all,19,22,2.9922185030099446,2.563438803793154,0.3285653978155584,0.29347415221198814,0.4287796992167907,1.3824296999184487,1.3556729960490592,2.8370841253061116,3.128320803720155,2.446068638211697,2.6882549453546107,340.0,0.0006452654800716234,9.999000099990002e-05,0.2328043933117936,0.6115690519541092,0.002346419927533176,4,37,2.7605711445296164,2.762311369257293
10,1,0.1,0.2,excl_censored,19,21,2.9922185030099446,2.571175259625149,0.3285653978155584,0.298413862645754,0.4210432433847955,1.344935269124079,1.3182147008633358,2.8352782012999755,3.1237845822436805,2.453846150563707,2.7024557953250614,323.0,0.0008643278263233195,9.999000099990002e-05,0.2212378914391991,0.605240406366568,0.0032012141715678497,4,36,2.7605711445296164,2.7723485397555163
10,2,0.2,0.3,all,19,22,2.99385355563978,2.63096201908813,0.29748944093142493,0.2842991329115005,0.3628915365516501,1.2493623132651739,1.225181107201977,2.861767279680061,3.1197869471087234,2.5208326486900683,2.7530726889591812,329.0,0.0017825908825435677,0.0004999500049995,0.18383933208907455,0.5332049523649838,0.003813028625761642,4,37,2.829341260940912,2.79586532252246
10,2,0.2,0.3,excl_censored,19,21,2.99385355563978,2.638404863629043,0.29748944093142493,0.28911528968159406,0.35544869201073714,1.2126726753921298,1.18857984078169,2.854798335517217,3.1132192309271693,2.5260977861678384,2.760924385187694,311.0,0.002644304406362379,0.0008999100089991,0.16322860009234377,0.5343909856023926,0.005262297326094287,4,36,2.829341260940912,2.8047876291556126
10,3,0.3,0.4,all,19,22,3.037228671715088,2.6972119945062087,0.2726036304249472,0.2559359201528525,0.34001667720887907,1.2891157240683986,1.2641650971509457,2.913483429672902,3.147960306907301,2.5964546691461483,2.8021275151263554,331.0,0.0014904403708231285,0.0004999500049995,0.17960120415080802,0.4890971831848517,0.0035486675495788773,4,37,2.911749410854026,2.848621918873167
10,3,0.3,0.4,excl_censored,19,21,3.037228671715088,2.707135293613335,0.2726036304249472,0.25788302561490223,0.33009337810175277,1.245833257742726,1.221081603615387,2.915913630098452,3.149688390370136,2.605952983949531,2.8231799503158554,312.0,0.0024181155429086843,0.0006999300069993001,0.15872143871719224,0.48975465171936033,0.005011638430898828,4,36,2.911749410854026,2.858616341251406
10,4,0.4,0.5,all,19,22,3.048298357696858,2.7011225347767573,0.28135442129239985,0.2408037191050407,0.3471758229201005,1.3337241316924688,1.3079101162403566,2.919862533861099,3.155808757961915,2.6119057880452528,2.8049093881536673,326.0,0.002320492605204538,0.00039996000399960006,0.19025087486747555,0.4917353379711183,0.004462485779239496,4,37,2.8423542687100207,2.864133715851051
10,4,0.4,0.5,excl_censored,19,21,3.048298357696858,2.7088427785079636,0.28135442129239985,0.24394454845321126,0.33945557918889424,1.2939978407186907,1.2682892743467962,2.918476315945467,3.15929857073683,2.6148183164651027,2.807407745090683,309.0,0.0031556734004143713,0.0008999100089991,0.17397433942602714,0.49451163585079944,0.0057902264227786635,4,36,2.8423542687100207,2.8731652797240965
10,5,0.5,0.6,all,19,22,3.0752515620285346,2.7140283874554765,0.3001660946702794,0.24281499989926708,0.3612231745730581,1.333919916187622,1.308102111358184,2.945443523627203,3.1990164548936852,2.619922151003707,2.815264271884036,334.0,0.001134037511943275,0.0005999400059994001,0.19017252197735468,0.5203356379085501,0.0030040728793199337,4,37,2.8861341761553394,2.8809153377821968
10,5,0.5,0.6,excl_censored,19,21,3.0752515620285346,2.717359007260523,0.3001660946702794,0.24829585464015297,0.35789255476801163,1.3057372247230319,1.279795425556349,2.940828343761501,3.205283466625602,2.6208223012043765,2.831969126960608,318.0,0.001393916027072069,0.00029997000299970003,0.1855715124278051,0.5186720487926569,0.003742056448515622,4,36,2.8861341761553394,2.8874939479553268
10,6,0.6,0.7,all,19,22,3.0542268656227836,2.750581800743013,0.27805475757172937,0.23261038851284077,0.3036450648797704,1.1926607004235308,1.1695769449314624,2.9194884198110405,3.169677371029467,2.6605884947538243,2.8459191812789015,314.0,0.006293499750235036,0.0012998700129987,0.1468262000025462,0.4525758363174723,0.008740971875326438,4,37,2.876450320271617,2.892900237353857
10,6,0.6,0.7,excl_censored,19,21,3.0542268656227836,2.7547774112712964,0.27805475757172937,0.23750018899847872,0.2994494543514872,1.1628760354030794,1.1397725380109651,2.928199545404754,3.171155750928338,2.6658151806481216,2.861301101247443,299.0,0.007333398615540424,0.0007999200079992001,0.14588619681520726,0.4501349688364584,0.010115032573159205,4,36,2.876450320271617,2.899300966734545
10,7,0.7,0.8,all,19,22,3.1061501302540115,2.7509196335272326,0.28367774539055896,0.2531345277199715,0.355230496726779,1.3271466980378066,1.3014599877532038,2.9753002824111903,3.223346137882485,2.654618694011572,2.8583413742930084,343.0,0.0004825316312145502,0.00039996000399960006,0.1915417831677267,0.5164162375113627,0.0023254536444074713,4,37,2.933677657522769,2.9135776697928173
10,7,0.7,0.8,excl_censored,19,21,3.1061501302540115,2.7581817213774062,0.28367774539055896,0.25702664770314326,0.3479684088766053,1.2888721317412946,1.2632654006470967,2.9782991050444974,3.225040062458389,2.659317313713368,2.868858363563045,325.0,0.0007104983619273451,0.00039996000399960006,0.16960737604459217,0.5072749698169771,0.003193251064842001,4,36,2.933677657522769,2.9223321664905737
10,8,0.8,0.9,all,19,22,3.145538678493081,2.785602425746047,0.31509759658569586,0.2532985546749797,0.3599362527470338,1.269615909442442,1.245042698291943,2.99683804265747,3.275122088362354,2.687041804651969,2.8906456449803737,330.0,0.0016305036228348349,0.00039996000399960006,0.18505964973719385,0.5321765206972019,0.003664053085022101,4,37,2.9980143537378074,2.9474711038602806
