layer,head,component,succ_mean,fail_mean,delta,n_succ,n_fail
1,20,final_answer_cue,0.3509483363059743,0.5378241602249021,-0.18687582391892782,7,33
1,20,harmful_instruction,0.0,0.0005487416102882407,-0.0005487416102882407,7,33
1,20,injected_reasoning,0.0,0.00024061315564136848,-0.00024061315564136848,7,33
1,21,benign_puzzle_scaffold,0.7186921777561596,0.5956166726102056,0.123075505145954,7,33
1,21,final_answer_cue,0.19676725440972584,0.317273573857227,-0.12050631944750115,7,33
1,21,harmful_instruction,0.0,0.00022269376559496838,-0.00022269376559496838,7,33
1,21,injected_reasoning,0.0,0.001242736873342482,-0.001242736873342482,7,33
1,22,benign_puzzle_scaffold,0.6792518537523377,0.5641182506746601,0.1151336030776775,7,33
1,22,final_answer_cue,0.21092781937768076,0.3221211087285128,-0.11119328935083203,7,33
1,22,harmful_instruction,0.0,0.0003883572902519901,-0.0003883572902519901,7,33
1,22,injected_reasoning,0.0,0.0005940314404792985,-0.0005940314404792985,7,33
1,23,benign_puzzle_scaffold,0.6127384904321117,0.4733451332455871,0.13939335718652462,7,33
1,23,final_answer_cue,0.25734065436801057,0.39720216192714597,-0.1398615075591354,7,33
1,23,harmful_instruction,0.0,0.00048225277287736613,-0.00048225277287736613,7,33
1,23,injected_reasoning,0.0,0.0002551602605326724,-0.0002551602605326724,7,33
2,0,benign_puzzle_scaffold,0.4872045815254257,0.3047731510535181,0.18243143047190757,7,33
2,0,final_answer_cue,0.3626330139288458,0.5360753579831002,-0.17344234405425446,7,33
2,0,harmful_instruction,0.0,0.0007246392522496232,-0.0007246392522496232,7,33
2,0,injected_reasoning,0.0,5.405415027045913e-05,-5.405415027045913e-05,7,33
2,1,benign_puzzle_scaffold,0.5924932005290093,0.4293716362917576,0.16312156423725171,7,33
2,1,final_answer_cue,0.25193960984902813,0.40629958132743,-0.15435997147840186,7,33
2,1,harmful_instruction,0.0,0.0002313299775270744,-0.0002313299775270744,7,33
2,1,injected_reasoning,0.0,0.00026739167357781263,-0.00026739167357781263,7,33
2,2,benign_puzzle_scaffold,0.5495910386097863,0.4253027232788537,0.1242883153309326,7,33
2,2,final_answer_cue,0.20539649517439912,0.3205721095425371,-0.115175614368138,7,33
2,2,harmful_instruction,0.0,0.0002514577888582242,-0.0002514577888582242,7,33
2,2,injected_reasoning,0.0,8.088188804597003e-05,-8.088188804597003e-05,7,33
2,3,benign_puzzle_scaffold,0.6079431271913622,0.5200496808702955,0.08789344632106677,7,33
2,3,final_answer_cue,0.08795557353959124,0.16788917116478905,-0.0799335976251978,7,33
2,3,harmful_instruction,0.0,7.495259163408414e-05,-7.495259163408414e-05,7,33
2,3,injected_reasoning,0.0,0.00013549003464873618,-0.00013549003464873618,7,33
2,4,benign_puzzle_scaffold,0.6063012992072504,0.5079628428255788,0.0983384563816716,7,33
2,4,final_answer_cue,0.12024384682962966,0.20569128372122075,-0.0854474368915911,7,33
2,4,harmful_instruction,0.0,0.0001423053333612142,-0.0001423053333612142,7,33
2,4,injected_reasoning,0.0,0.00010460490074703346,-0.00010460490074703346,7,33
2,5,benign_puzzle_scaffold,0.6145563780702101,0.527624163843099,0.08693221422711117,7,33
2,5,final_answer_cue,0.09016785454387158,0.16540039540410229,-0.0752325408602307,7,33
2,5,harmful_instruction,0.0,4.4295312154807884e-05,-4.4295312154807884e-05,7,33
2,5,injected_reasoning,0.0,0.0001440844760684712,-0.0001440844760684712,7,33
2,6,benign_puzzle_scaffold,0.5718564098015041,0.475815555214018,0.09604085458748607,7,33
2,6,final_answer_cue,0.12740562360800653,0.2147767815557086,-0.08737115794770206,7,33
2,6,harmful_instruction,0.0,0.000226849169195444,-0.000226849169195444,7,33
2,6,injected_reasoning,0.0,5.040153245508674e-05,-5.040153245508674e-05,7,33
2,7,benign_puzzle_scaffold,0.5786994600045196,0.4888065784329185,0.08989288157160102,7,33
2,7,final_answer_cue,0.11360850710189019,0.19566021459658167,-0.08205170749469148,7,33
2,7,harmful_instruction,0.0,0.0001178355356020616,-0.0001178355356020616,7,33
2,7,injected_reasoning,0.0,5.113190172189363e-05,-5.113190172189363e-05,7,33
2,8,benign_puzzle_scaffold,0.573896866272696,0.47452548892149365,0.09937137735120233,7,33
2,8,final_answer_cue,0.13796438813498554,0.2279775553732048,-0.09001316723821925,7,33
2,8,harmful_instruction,0.0,0.0001811809884208469,-0.0001811809884208469,7,33
2,8,injected_reasoning,0.0,6.058318124346804e-05,-6.058318124346804e-05,7,33
2,9,benign_puzzle_scaffold,0.6504817656529239,0.512466372812208,0.13801539284071596,7,33
2,9,final_answer_cue,0.19832253228715033,0.3298982746434143,-0.13157574235626399,7,33
2,9,harmful_instruction,0.0,0.0004426692014794945,-0.0004426692014794945,7,33
2,9,injected_reasoning,0.0,0.0013916383161196226,-0.0013916383161196226,7,33
2,10,benign_puzzle_scaffold,0.59967919770118,0.5054745331186996,0.09420466458248034,7,33
2,10,final_answer_cue,0.10805602268306813,0.19081504055771845,-0.08275901787465031,7,33
2,10,harmful_instruction,0.0,0.0001446784031422785,-0.0001446784031422785,7,33
2,10,injected_reasoning,0.0,6.953995864488105e-05,-6.953995864488105e-05,7,33
