bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
8,0.85,26,0,8.554602,7.988261,0.566341,0.08416
8,0.85,26,1,-3.27125,-3.909068,0.637818,0.129341
8,0.85,26,2,4.963005,4.532284,0.430721,0.090916
8,0.85,26,3,2.679286,1.974603,0.704683,0.182744
8,0.85,26,4,-3.001004,-3.811971,0.810967,0.181847
9,0.95,3,0,1.350773,1.177959,0.172814,0.322654
9,0.95,3,1,-0.255278,-0.245857,-0.009421,-0.031861
9,0.95,3,2,0.558183,0.602701,-0.044518,-0.139796
9,0.95,3,3,0.202949,0.255333,-0.052384,-0.178806
9,0.95,3,4,-0.241535,-0.223581,-0.017954,-0.062286
9,0.95,21,0,4.581676,4.37287,0.208806,0.035002
9,0.95,21,1,-1.418176,-1.675761,0.257585,0.062596
9,0.95,21,2,2.351963,2.470983,-0.11902,-0.032226
9,0.95,21,3,1.185868,1.143667,0.042201,0.017902
9,0.95,21,4,-1.095784,-1.330793,0.235009,0.067998
9,0.95,22,0,5.955521,5.648746,0.306775,0.050768
9,0.95,22,1,-2.114947,-2.34552,0.230573,0.054809
9,0.95,22,2,3.080145,3.057235,0.02291,0.00593
9,0.95,22,3,1.512159,1.257208,0.254951,0.096553
9,0.95,22,4,-1.910066,-2.221303,0.311237,0.08544
9,0.95,23,0,6.537593,6.152167,0.385426,0.062372
9,0.95,23,1,-2.768245,-3.125366,0.357121,0.081688
9,0.95,23,2,3.324522,3.215653,0.108869,0.026713
9,0.95,23,3,1.487204,1.112874,0.37433,0.130805
9,0.95,23,4,-2.388104,-2.840622,0.452518,0.119143
9,0.95,26,0,8.573093,7.889653,0.68344,0.105675
9,0.95,26,1,-3.103206,-3.753251,0.650045,0.135561
9,0.95,26,2,5.064329,4.767276,0.297053,0.064434
9,0.95,26,3,2.597144,2.005996,0.591148,0.15343
9,0.95,26,4,-2.850915,-3.563839,0.712924,0.163268
