step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
191,0,D,False,0.0,0.4034,0.1921,0.2013,0.2032,-0.3667,0.3301,,stage4_7,cost_asr
192,2,D,True,1.0,0.258,0.2838,0.2113,0.2468,0.2945,0.735,,stage4_8,cost_asr
193,0,A,True,1.0,0.4098,0.1901,0.1991,0.201,0.6699,0.3971,,stage4_8,cost_asr
194,0,E,False,0.0,0.4125,0.1905,0.1996,0.1975,-0.3971,0.3573,,stage4_7,cost_asr
195,2,D,True,1.0,0.2571,0.2864,0.2107,0.2459,0.265,0.7615,,stage4_8,cost_asr
196,1,E,False,0.0,0.2869,0.2375,0.2159,0.2596,-0.2935,0.2642,,stage4_7,cost_asr
197,1,F,False,0.0,0.2879,0.2382,0.2136,0.2604,-0.2642,0.2378,8.025,stage4_7,cost_asr
198,0,A,True,1.0,0.4186,0.1885,0.1975,0.1954,0.6427,0.4216,4.688,stage4_7,cost_asr
199,3,E,True,1.0,0.2722,0.2388,0.2544,0.2346,0.1434,0.871,,stage4_7,cost_asr
200,0,E,False,0.0,0.4214,0.1889,0.1979,0.1917,-0.4216,0.3794,,stage4_7,cost_asr
201,1,E,False,0.0,0.2889,0.2389,0.2141,0.2581,-0.2378,0.214,,stage4_7,cost_asr
202,0,E,False,0.0,0.424,0.1892,0.1983,0.1885,-0.3794,0.3415,,stage4_7,cost_asr
203,2,E,True,1.0,0.2563,0.2855,0.2101,0.2481,0.2385,0.7853,,stage4_7,cost_asr
204,2,A,False,0.0,0.2489,0.2887,0.2119,0.2505,-0.7853,0.7068,,stage4_8,cost_asr
205,1,D,False,0.0,0.2897,0.2369,0.2146,0.2588,-0.214,0.1926,,stage4_8,cost_asr
206,2,A,False,0.0,0.2423,0.2916,0.2134,0.2527,-0.7068,0.6361,,stage4_8,cost_asr
207,0,A,True,1.0,0.4302,0.1872,0.1961,0.1865,0.6585,0.4074,,stage4_8,cost_asr
208,2,A,True,1.0,0.2457,0.2901,0.2126,0.2516,0.3639,0.6725,6.285,stage4_7,cost_asr
209,3,D,True,1.0,0.2718,0.24,0.254,0.2343,0.129,0.8839,,stage4_8,cost_asr
210,0,E,False,0.0,0.433,0.1875,0.1965,0.183,-0.4074,0.3666,,stage4_7,cost_asr
211,1,A,False,0.0,0.2878,0.2375,0.2151,0.2595,-0.1926,0.1733,,stage4_8,cost_asr
212,0,F,False,0.0,0.4357,0.1878,0.1932,0.1833,-0.3666,0.33,,stage4_8,cost_asr
213,1,D,False,0.0,0.2885,0.2359,0.2155,0.2601,-0.1733,0.156,,stage4_8,cost_asr
214,2,D,False,0.0,0.248,0.2836,0.2144,0.254,-0.6725,0.6053,8.379,stage4_7,cost_asr
215,1,E,False,0.0,0.2892,0.2364,0.2159,0.2586,-0.156,0.1404,,stage4_7,cost_asr
216,2,E,False,0.0,0.2499,0.286,0.2158,0.2483,-0.6053,0.5447,,stage4_7,cost_asr
217,2,F,False,0.0,0.2513,0.2879,0.211,0.2497,-0.5447,0.4903,7.929,stage4_7,cost_asr
218,3,F,True,1.0,0.2713,0.2396,0.2551,0.234,0.1161,0.8955,10.282,stage4_7,cost_asr
219,0,A,True,1.0,0.4419,0.1857,0.1911,0.1813,0.67,0.397,6.335,stage4_7,cost_asr
220,3,D,False,0.0,0.2745,0.2314,0.2578,0.2363,-0.8955,0.8059,6.343,stage4_7,cost_asr
221,0,E,False,0.0,0.4447,0.186,0.1914,0.1779,-0.397,0.3573,,stage4_7,cost_asr
222,1,F,False,0.0,0.2897,0.2367,0.2146,0.259,-0.1404,0.1264,6.649,stage4_7,cost_asr
223,0,D,False,0.0,0.4473,0.1829,0.1916,0.1781,-0.3573,0.3215,,stage4_8,cost_asr
224,2,F,True,1.0,0.25,0.2861,0.2155,0.2484,0.5097,0.5412,,stage4_8,cost_asr
225,1,A,False,0.0,0.2885,0.2371,0.215,0.2595,-0.1264,0.1137,,stage4_8,cost_asr
226,3,F,True,1.0,0.2737,0.2309,0.2597,0.2357,0.1941,0.8253,,stage4_8,cost_asr
227,0,D,False,0.0,0.4497,0.1802,0.1918,0.1783,-0.3215,0.2894,,stage4_8,cost_asr
228,3,E,True,1.0,0.2731,0.2305,0.2591,0.2373,0.1747,0.8428,,stage4_7,cost_asr
229,0,A,False,0.0,0.4471,0.181,0.1928,0.1791,-0.2894,0.2604,5.045,stage4_7,cost_asr
230,2,E,False,0.0,0.2516,0.2883,0.2167,0.2434,-0.5412,0.4871,,stage4_7,cost_asr
231,2,A,True,1.0,0.2565,0.2861,0.2155,0.2418,0.5129,0.5384,5.957,stage4_7,cost_asr
232,3,A,True,1.0,0.2746,0.23,0.2585,0.2368,0.1572,0.8585,,stage4_8,cost_asr
