step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
153,1,F,False,0.0,0.2802,0.2405,0.2316,0.2477,-0.0847,0.0763,,stage4_8,cost_l22_deflect
154,2,D,True,1.0742,0.2673,0.2724,0.2514,0.2088,0.5418,0.5866,6.599,stage4_7,cost_l22_deflect
155,1,F,False,0.0,0.2805,0.2407,0.2309,0.2479,-0.0763,0.0686,,stage4_8,cost_l22_deflect
156,3,A,True,1.0,0.2574,0.2637,0.2095,0.2694,0.2276,0.7951,,stage4_8,cost_l22_deflect
157,2,D,False,-0.0556,0.2698,0.2663,0.2536,0.2104,-0.6422,0.5224,8.379,stage4_7,cost_l22_deflect
158,3,E,False,0.0,0.2602,0.2666,0.2114,0.2618,-0.7951,0.7156,,stage4_7,cost_l22_deflect
159,2,A,True,1.0,0.2744,0.2645,0.2519,0.2092,0.4776,0.5702,,stage4_8,cost_l22_deflect
160,1,E,False,0.0,0.2808,0.2409,0.2311,0.2472,-0.0686,0.0618,,stage4_7,cost_l22_deflect
161,0,E,False,0.0,0.3684,0.2144,0.2271,0.1901,-0.2206,0.1985,,stage4_7,cost_l22_deflect
162,3,E,False,0.0,0.2627,0.2692,0.213,0.2551,-0.7156,0.6441,,stage4_7,cost_l22_deflect
163,0,A,False,0.0,0.3664,0.2151,0.2279,0.1906,-0.1985,0.1787,,stage4_8,cost_l22_deflect
164,1,A,False,0.0,0.2802,0.2411,0.2313,0.2475,-0.0618,0.0556,,stage4_8,cost_l22_deflect
165,2,F,False,0.0,0.2765,0.2664,0.2466,0.2104,-0.5702,0.5131,,stage4_8,cost_l22_deflect
166,1,E,True,1.0,0.2765,0.2384,0.2288,0.2564,0.9444,0.15,,stage4_7,cost_l22_deflect
167,3,E,True,1.0,0.2614,0.2679,0.2122,0.2585,0.3559,0.6796,,stage4_7,cost_l22_deflect
168,2,E,False,0.0,0.2782,0.268,0.2479,0.206,-0.5131,0.4618,,stage4_7,cost_l22_deflect
169,3,F,False,0.1037,0.2631,0.2697,0.2072,0.2601,-0.576,0.6221,6.195,stage4_7,cost_l22_deflect
170,3,E,True,1.0,0.2617,0.2682,0.2064,0.2637,0.3779,0.6598,,stage4_7,cost_l22_deflect
171,2,A,True,1.121,0.2846,0.2654,0.2456,0.2044,0.6592,0.5278,5.957,stage4_7,cost_l22_deflect
172,3,A,True,0.9206,0.2642,0.2673,0.2058,0.2627,0.2608,0.6859,8.706,stage4_7,cost_l22_deflect
173,3,A,True,1.0,0.2672,0.2661,0.2051,0.2616,0.3141,0.7173,,stage4_8,cost_l22_deflect
174,1,A,False,0.0,0.275,0.2388,0.2292,0.2569,-0.15,0.135,,stage4_8,cost_l22_deflect
175,3,D,True,1.0,0.2662,0.2688,0.2044,0.2606,0.2827,0.7456,,stage4_8,cost_l22_deflect
176,3,A,True,1.0,0.2686,0.2678,0.2039,0.2597,0.2544,0.771,,stage4_8,cost_l22_deflect
177,0,E,False,-0.3,0.369,0.2158,0.2287,0.1866,-0.4787,0.1308,,stage4_7,cost_l22_deflect
178,2,D,True,1.0,0.2826,0.2699,0.2441,0.2033,0.4722,0.575,,stage4_8,cost_l22_deflect
179,3,A,True,1.22,0.2729,0.2661,0.2029,0.2581,0.449,0.8159,4.599,stage4_7,cost_l22_deflect
180,0,A,True,1.0,0.3775,0.2128,0.2254,0.1843,0.8692,0.2177,,stage4_8,cost_l22_deflect
181,3,A,True,1.0,0.2747,0.2654,0.2024,0.2574,0.1841,0.8343,,stage4_8,cost_l22_deflect
182,2,F,True,1.0,0.281,0.2684,0.2481,0.2025,0.425,0.6175,,stage4_8,cost_l22_deflect
183,1,D,False,-0.4703,0.2772,0.2333,0.2307,0.2588,-0.6053,0.0745,14.068,stage4_7,cost_l22_deflect
184,3,E,True,1.0,0.2741,0.2648,0.2021,0.259,0.1657,0.8509,,stage4_7,cost_l22_deflect
185,3,D,True,1.0,0.2735,0.2663,0.2018,0.2585,0.1491,0.8658,,stage4_8,cost_l22_deflect
186,1,F,False,0.0,0.2775,0.2335,0.23,0.2591,-0.0745,0.067,,stage4_8,cost_l22_deflect
187,0,E,False,0.0,0.3787,0.2131,0.2257,0.1825,-0.2177,0.196,,stage4_7,cost_l22_deflect
188,0,A,True,1.0935,0.3875,0.21,0.2224,0.1801,0.8975,0.2857,6.335,stage4_7,cost_l22_deflect
189,2,A,True,1.121,0.2859,0.2664,0.2464,0.2013,0.5036,0.6678,5.957,stage4_7,cost_l22_deflect
190,0,F,False,0.0,0.3894,0.2105,0.2197,0.1804,-0.2857,0.2571,,stage4_8,cost_l22_deflect
191,2,F,True,0.8806,0.285,0.2657,0.2484,0.2009,0.2128,0.6891,9.255,stage4_7,cost_l22_deflect
192,1,F,False,0.0706,0.2775,0.2335,0.23,0.259,0.0035,0.0674,6.649,stage4_7,cost_l22_deflect
193,0,D,False,0.1026,0.3903,0.2091,0.22,0.1806,-0.1546,0.2417,6.21,stage4_7,cost_l22_deflect
194,3,D,True,1.0,0.273,0.2675,0.2015,0.258,0.1342,0.8792,,stage4_8,cost_l22_deflect
195,2,D,True,1.0,0.2837,0.2687,0.2474,0.2002,0.3109,0.7202,,stage4_8,cost_l22_deflect
196,2,A,False,0.0,0.2767,0.2715,0.2499,0.2019,-0.7202,0.6482,,stage4_8,cost_l22_deflect
197,1,F,False,-0.0297,0.2778,0.2337,0.2292,0.2593,-0.0971,0.0577,8.025,stage4_7,cost_l22_deflect
198,0,A,False,0.1875,0.3898,0.2093,0.2202,0.1807,-0.0542,0.2363,5.045,stage4_7,cost_l22_deflect
199,0,A,False,0.0,0.3875,0.2101,0.2211,0.1813,-0.2363,0.2126,,stage4_8,cost_l22_deflect
200,2,E,True,1.0,0.2756,0.2705,0.249,0.2049,0.3518,0.6834,,stage4_7,cost_l22_deflect
201,3,D,False,0.0929,0.276,0.2601,0.2032,0.2607,-0.7863,0.8006,6.343,stage4_7,cost_l22_deflect
202,0,A,False,0.1875,0.3873,0.2102,0.2212,0.1814,-0.0251,0.2101,5.045,stage4_7,cost_l22_deflect
203,2,A,True,1.0,0.2787,0.2692,0.2479,0.2042,0.3166,0.715,,stage4_8,cost_l22_deflect
204,2,E,False,0.0,0.281,0.2713,0.2496,0.1981,-0.715,0.6435,,stage4_7,cost_l22_deflect
205,2,D,True,1.0742,0.2792,0.2755,0.2482,0.1971,0.4307,0.6866,6.599,stage4_7,cost_l22_deflect
206,2,D,True,0.9734,0.278,0.2783,0.2472,0.1965,0.2868,0.7153,7.982,stage4_7,cost_l22_deflect
207,1,F,False,0.0,0.278,0.2339,0.2286,0.2595,-0.0577,0.0519,,stage4_8,cost_l22_deflect
208,3,D,True,1.0,0.2753,0.262,0.2027,0.26,0.1994,0.8205,,stage4_8,cost_l22_deflect
209,2,F,True,1.0,0.2769,0.2772,0.2499,0.196,0.2847,0.7437,,stage4_8,cost_l22_deflect
210,3,A,True,0.9206,0.2762,0.2616,0.2025,0.2597,0.1001,0.8306,8.706,stage4_7,cost_l22_deflect
