prompt_type,time_point,layer,rank,n,mean,std
puzzle_attack,startofthink,17,0,220,3.834148,0.243611
puzzle_attack,startofthink,17,1,220,3.268196,0.239701
puzzle_attack,startofthink,17,2,220,1.576096,0.216287
puzzle_attack,startofthink,17,3,220,-5.0553,0.933397
puzzle_attack,startofthink,17,4,220,-7.577936,1.600494
puzzle_attack,startofthink,18,0,220,0.170489,0.386041
puzzle_attack,startofthink,18,1,220,-1.962508,0.734796
puzzle_attack,startofthink,18,2,220,-0.062181,0.238694
puzzle_attack,startofthink,18,3,220,-2.691472,2.11173
puzzle_attack,startofthink,18,4,220,-6.188334,1.350133
puzzle_attack,startofthink,21,0,220,0.359305,0.196273
puzzle_attack,startofthink,21,1,220,-2.241918,1.06246
puzzle_attack,startofthink,21,2,220,0.30818,0.265521
puzzle_attack,startofthink,21,3,220,0.468989,0.772703
puzzle_attack,startofthink,21,4,220,-0.519023,0.474213
puzzle_attack,startofthink,24,0,220,3.879688,1.256426
puzzle_attack,startofthink,24,1,220,2.369079,0.290064
puzzle_attack,startofthink,24,2,220,0.93192,0.42736
puzzle_attack,startofthink,24,3,220,2.816597,0.505301
puzzle_attack,startofthink,24,4,220,-1.177515,0.372162
puzzle_attack,startofthink,35,0,220,0.064279,0.280056
puzzle_attack,startofthink,35,1,220,-1.860142,0.230915
puzzle_attack,startofthink,35,2,220,-0.5002,0.806108
puzzle_attack,startofthink,35,3,220,-4.74766,0.175202
puzzle_attack,startofthink,35,4,220,-2.127873,0.208439
