step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
115,1,F,False,0.0114,0.2655,0.2334,0.2219,0.2792,-0.4143,0.3843,,stage4_8,cost_mechanistic
116,0,E,False,-0.25,0.3274,0.2304,0.2366,0.2056,-0.6082,0.2973,,stage4_7,cost_mechanistic
117,3,A,True,1.1,0.3093,0.2461,0.2475,0.1971,0.3479,0.7869,,stage4_8,cost_mechanistic
118,1,A,False,0.1,0.2628,0.2342,0.2227,0.2803,-0.2843,0.3558,,stage4_8,cost_mechanistic
119,3,F,True,1.1,0.3078,0.2452,0.2505,0.1965,0.3131,0.8182,,stage4_8,cost_mechanistic
120,3,F,True,1.1,0.3065,0.2443,0.2532,0.196,0.2818,0.8464,,stage4_8,cost_mechanistic
121,1,D,False,0.1,0.2636,0.2318,0.2233,0.2813,-0.2558,0.3303,,stage4_8,cost_mechanistic
122,2,A,False,0.1,0.2554,0.2731,0.2237,0.2477,-0.6468,0.6821,,stage4_8,cost_mechanistic
123,0,A,True,1.1,0.3354,0.2276,0.2337,0.2033,0.8027,0.3776,,stage4_8,cost_mechanistic
124,0,A,True,1.1,0.3426,0.2251,0.231,0.2012,0.7224,0.4498,,stage4_8,cost_mechanistic
125,1,F,False,0.0114,0.2646,0.2326,0.2204,0.2824,-0.3189,0.2984,,stage4_8,cost_mechanistic
126,1,D,False,0.1,0.2653,0.2308,0.2208,0.2831,-0.1984,0.2785,,stage4_8,cost_mechanistic
127,2,F,False,0.0907,0.2571,0.2751,0.2184,0.2493,-0.5915,0.623,,stage4_8,cost_mechanistic
128,0,E,False,-0.25,0.346,0.2264,0.2324,0.1952,-0.6998,0.3799,,stage4_7,cost_mechanistic
129,3,D,False,0.1,0.3098,0.2374,0.2554,0.1973,-0.7464,0.7718,6.343,stage4_7,cost_mechanistic
130,3,A,True,1.1,0.3131,0.2363,0.2541,0.1965,0.3282,0.8046,,stage4_8,cost_mechanistic
131,1,E,True,1.05,0.2622,0.2284,0.2187,0.2907,0.7715,0.3557,,stage4_7,cost_mechanistic
132,3,E,True,1.05,0.3121,0.2358,0.2535,0.1986,0.2454,0.8291,,stage4_7,cost_mechanistic
133,2,D,True,1.1,0.2554,0.2797,0.2171,0.2477,0.477,0.6707,,stage4_8,cost_mechanistic
134,0,E,False,0.05,0.3475,0.227,0.233,0.1924,-0.3299,0.3469,,stage4_7,cost_mechanistic
135,1,D,False,0.1,0.263,0.2261,0.2192,0.2917,-0.2557,0.3301,,stage4_8,cost_mechanistic
136,1,A,False,0.1,0.2608,0.2267,0.2198,0.2927,-0.2301,0.3071,,stage4_8,cost_mechanistic
137,3,D,True,1.1,0.3109,0.2383,0.2527,0.1981,0.2709,0.8562,,stage4_8,cost_mechanistic
138,0,E,False,-0.25,0.3504,0.228,0.2341,0.1874,-0.5969,0.2872,,stage4_7,cost_mechanistic
139,3,F,True,1.0997,0.3097,0.2376,0.255,0.1977,0.2435,0.8806,,stage4_8,cost_mechanistic
140,1,A,True,1.1,0.2685,0.2246,0.2178,0.2892,0.7929,0.3864,4.398,stage4_7,cost_mechanistic
141,2,A,True,1.1,0.2595,0.278,0.2161,0.2464,0.4293,0.7136,8.152,stage4_7,cost_mechanistic
142,3,E,True,1.05,0.3091,0.2372,0.2546,0.1991,0.1694,0.8975,,stage4_7,cost_mechanistic
143,3,F,True,1.1,0.3081,0.2367,0.2565,0.1987,0.2025,0.9178,,stage4_8,cost_mechanistic
144,1,F,False,0.0902,0.2694,0.2252,0.2152,0.2902,-0.2961,0.3568,6.649,stage4_7,cost_mechanistic
145,3,F,False,-0.25,0.3136,0.2399,0.2456,0.201,-1.1678,0.801,,stage4_7,cost_mechanistic
146,1,E,False,0.05,0.2706,0.2261,0.216,0.2873,-0.3068,0.3261,,stage4_7,cost_mechanistic
147,0,F,False,0.1,0.3514,0.2285,0.2324,0.1877,-0.1872,0.2685,,stage4_8,cost_mechanistic
148,0,D,False,0.1,0.3524,0.2269,0.2328,0.188,-0.1685,0.2516,,stage4_8,cost_mechanistic
149,3,A,True,1.1,0.3166,0.2388,0.2444,0.2002,0.299,0.8309,8.706,stage4_7,cost_mechanistic
150,2,A,False,0.1,0.2537,0.2805,0.2176,0.2483,-0.6136,0.6523,,stage4_8,cost_mechanistic
151,1,F,False,0.0901,0.2714,0.2266,0.2139,0.2881,-0.236,0.3025,,stage4_8,cost_mechanistic
152,3,A,True,1.1,0.3192,0.2379,0.2434,0.1995,0.2691,0.8578,,stage4_8,cost_mechanistic
153,0,E,False,0.05,0.3533,0.2272,0.2331,0.1863,-0.2016,0.2315,,stage4_7,cost_mechanistic
154,3,D,True,1.1,0.3181,0.2401,0.2428,0.199,0.2422,0.882,6.91,stage4_7,cost_mechanistic
155,0,E,False,-0.25,0.3557,0.228,0.234,0.1823,-0.4815,0.1833,,stage4_7,cost_mechanistic
156,3,A,True,1.1,0.3202,0.2393,0.242,0.1985,0.218,0.9038,8.706,stage4_7,cost_mechanistic
157,1,A,True,1.1,0.2791,0.2244,0.2119,0.2846,0.7975,0.3822,4.398,stage4_7,cost_mechanistic
158,3,E,False,0.05,0.3238,0.2411,0.2438,0.1913,-0.8538,0.8184,,stage4_7,cost_mechanistic
159,2,F,False,0.1,0.2552,0.2823,0.2127,0.2497,-0.5523,0.597,7.929,stage4_7,cost_mechanistic
160,3,A,True,1.1,0.3265,0.2401,0.2428,0.1906,0.2816,0.8466,,stage4_8,cost_mechanistic
161,0,F,True,1.1,0.3504,0.226,0.2427,0.181,0.9167,0.275,7.755,stage4_7,cost_mechanistic
162,3,D,True,1.1,0.3253,0.2425,0.2421,0.1902,0.2534,0.8719,6.91,stage4_7,cost_mechanistic
163,3,D,False,0.1,0.3291,0.2353,0.2442,0.1914,-0.7719,0.7947,6.343,stage4_7,cost_mechanistic
164,1,E,False,0.05,0.2806,0.2253,0.2128,0.2813,-0.3322,0.349,,stage4_7,cost_mechanistic
165,2,D,True,1.1,0.2534,0.2873,0.2114,0.248,0.503,0.6473,,stage4_8,cost_mechanistic
166,0,F,False,0.1,0.3514,0.2264,0.241,0.1813,-0.175,0.2575,,stage4_8,cost_mechanistic
167,2,D,True,1.1,0.2517,0.2917,0.2102,0.2464,0.4527,0.6926,,stage4_8,cost_mechanistic
168,2,D,True,1.1,0.2502,0.2957,0.2092,0.2449,0.4074,0.7333,,stage4_8,cost_mechanistic
169,1,F,False,0.0902,0.2814,0.2259,0.2105,0.2822,-0.2588,0.3231,6.649,stage4_7,cost_mechanistic
170,0,A,True,1.1,0.3597,0.2234,0.2377,0.1792,0.8425,0.3417,,stage4_8,cost_mechanistic
171,3,D,True,1.1,0.3276,0.2381,0.2433,0.1909,0.3053,0.8253,,stage4_8,cost_mechanistic
172,3,E,True,1.05,0.3266,0.2377,0.2429,0.1928,0.2247,0.8477,,stage4_7,cost_mechanistic
173,0,F,False,0.1,0.3612,0.2239,0.2354,0.1795,-0.2417,0.3176,,stage4_8,cost_mechanistic
