step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
82,1,D,False,0.0,0.2588,0.2577,0.2376,0.2459,-0.1049,0.0944,,stage4_8,cost_l22_deflect
83,3,E,True,1.0,0.2917,0.2354,0.2511,0.2218,0.3115,0.7196,,stage4_7,cost_l22_deflect
84,2,A,True,1.121,0.2386,0.2834,0.232,0.2459,0.5665,0.6112,5.957,stage4_7,cost_l22_deflect
85,0,D,False,-0.3,0.2865,0.2469,0.2483,0.2183,-0.3177,-0.0141,,stage4_7,cost_l22_deflect
86,3,A,True,1.0,0.2944,0.2345,0.2501,0.221,0.2804,0.7477,,stage4_8,cost_l22_deflect
87,3,D,True,1.0,0.2934,0.2368,0.2494,0.2204,0.2523,0.7729,,stage4_8,cost_l22_deflect
88,0,D,False,0.1836,0.2857,0.2488,0.2477,0.2178,0.1976,0.0057,5.099,stage4_7,cost_l22_deflect
89,0,A,True,1.0,0.2954,0.2452,0.2442,0.2151,0.9943,0.1051,,stage4_8,cost_l22_deflect
90,2,A,False,0.0,0.233,0.2857,0.2335,0.2477,-0.6112,0.5501,,stage4_8,cost_l22_deflect
91,3,E,True,1.0,0.2925,0.2363,0.2487,0.2225,0.2271,0.7956,,stage4_7,cost_l22_deflect
92,0,F,False,0.0,0.2959,0.2455,0.2433,0.2153,-0.1051,0.0946,,stage4_8,cost_l22_deflect
93,1,F,False,0.0,0.2591,0.258,0.2367,0.2462,-0.0944,0.0849,,stage4_8,cost_l22_deflect
94,1,A,False,0.0,0.2583,0.2583,0.237,0.2465,-0.0849,0.0764,,stage4_8,cost_l22_deflect
95,3,A,True,1.0,0.2945,0.2356,0.248,0.2219,0.2044,0.8161,,stage4_8,cost_l22_deflect
96,1,E,False,0.0,0.2585,0.2585,0.2372,0.2457,-0.0764,0.0688,,stage4_7,cost_l22_deflect
97,1,A,False,0.0,0.2579,0.2588,0.2374,0.246,-0.0688,0.0619,,stage4_8,cost_l22_deflect
98,3,F,True,1.0,0.2938,0.2351,0.2497,0.2214,0.1839,0.8345,,stage4_8,cost_l22_deflect
99,3,F,True,1.0,0.293,0.2346,0.2513,0.221,0.1655,0.851,,stage4_8,cost_l22_deflect
100,1,E,True,1.0,0.2548,0.2557,0.2348,0.2548,0.9381,0.1557,,stage4_7,cost_l22_deflect
101,3,A,True,1.1058,0.2955,0.2338,0.2504,0.2203,0.2548,0.8765,6.166,stage4_7,cost_l22_deflect
102,2,D,True,1.0,0.2316,0.2901,0.2321,0.2461,0.4499,0.5951,,stage4_8,cost_l22_deflect
103,1,D,False,0.0,0.2553,0.2542,0.2352,0.2553,-0.1557,0.1402,,stage4_8,cost_l22_deflect
104,3,F,True,1.0,0.295,0.2335,0.2515,0.22,0.1235,0.8888,,stage4_8,cost_l22_deflect
105,3,F,True,1.0,0.2945,0.2332,0.2526,0.2197,0.1112,0.9,,stage4_8,cost_l22_deflect
106,3,D,True,1.0,0.2941,0.2341,0.2523,0.2195,0.1,0.91,,stage4_8,cost_l22_deflect
107,3,D,True,1.0,0.2938,0.2349,0.252,0.2193,0.09,0.919,,stage4_8,cost_l22_deflect
108,1,F,False,0.0706,0.2555,0.2544,0.2346,0.2555,-0.0696,0.1332,6.649,stage4_7,cost_l22_deflect
109,3,E,False,0.0,0.2972,0.2371,0.2545,0.2112,-0.919,0.8271,,stage4_7,cost_l22_deflect
110,0,D,False,0.0,0.2963,0.2447,0.2435,0.2155,-0.0946,0.0852,,stage4_8,cost_l22_deflect
111,0,E,False,0.0,0.2966,0.2449,0.2437,0.2148,-0.0852,0.0766,,stage4_7,cost_l22_deflect
112,1,A,False,0.2067,0.2562,0.2542,0.2344,0.2553,0.0735,0.1405,4.782,stage4_7,cost_l22_deflect
113,3,A,True,1.0,0.2989,0.2365,0.2539,0.2107,0.1729,0.8444,,stage4_8,cost_l22_deflect
114,3,A,True,1.0,0.3005,0.236,0.2533,0.2103,0.1556,0.8599,,stage4_8,cost_l22_deflect
115,1,F,False,0.0706,0.2564,0.2544,0.2337,0.2555,-0.07,0.1335,6.649,stage4_7,cost_l22_deflect
116,3,A,True,1.0,0.3018,0.2355,0.2527,0.2099,0.1401,0.8739,,stage4_8,cost_l22_deflect
117,2,E,False,0.0,0.2332,0.2926,0.2337,0.2406,-0.5951,0.5356,,stage4_7,cost_l22_deflect
118,1,D,False,0.0,0.2569,0.2531,0.2341,0.2559,-0.1335,0.1202,,stage4_8,cost_l22_deflect
119,2,D,True,1.0,0.2317,0.2971,0.2322,0.239,0.4644,0.582,,stage4_8,cost_l22_deflect
120,2,E,False,0.0,0.2331,0.2996,0.2336,0.2337,-0.582,0.5238,,stage4_7,cost_l22_deflect
121,2,F,True,1.0,0.2319,0.2976,0.238,0.2325,0.4762,0.5714,,stage4_8,cost_l22_deflect
122,1,E,False,0.0,0.2573,0.2535,0.2344,0.2548,-0.1202,0.1082,,stage4_7,cost_l22_deflect
123,3,E,True,1.0,0.3013,0.2352,0.2524,0.211,0.1261,0.8865,,stage4_7,cost_l22_deflect
124,0,D,False,0.0,0.2969,0.2442,0.244,0.215,-0.0766,0.069,,stage4_8,cost_l22_deflect
125,1,D,False,0.0,0.2576,0.2525,0.2347,0.2552,-0.1082,0.0974,,stage4_8,cost_l22_deflect
126,0,A,True,1.0935,0.3071,0.2405,0.2403,0.2121,1.0245,0.1714,6.335,stage4_7,cost_l22_deflect
127,0,E,False,0.0,0.3078,0.2409,0.2407,0.2106,-0.1714,0.1543,,stage4_7,cost_l22_deflect
128,3,A,True,1.0,0.3025,0.2348,0.252,0.2107,0.1135,0.8979,,stage4_8,cost_l22_deflect
129,2,D,True,1.0,0.2306,0.3018,0.2366,0.2311,0.4286,0.6143,,stage4_8,cost_l22_deflect
130,1,F,False,0.0,0.2579,0.2528,0.2338,0.2555,-0.0974,0.0876,,stage4_8,cost_l22_deflect
131,3,F,True,1.0,0.302,0.2346,0.2529,0.2105,0.1021,0.9081,,stage4_8,cost_l22_deflect
132,3,A,True,1.0,0.3029,0.2343,0.2526,0.2103,0.0919,0.9173,,stage4_8,cost_l22_deflect
133,3,F,True,0.8057,0.3034,0.2346,0.2515,0.2105,-0.1116,0.9061,10.282,stage4_7,cost_l22_deflect
134,1,F,False,0.0,0.2582,0.253,0.233,0.2557,-0.0876,0.0789,,stage4_8,cost_l22_deflect
135,3,D,True,1.0516,0.3028,0.2359,0.2511,0.2102,0.1454,0.9207,6.91,stage4_7,cost_l22_deflect
136,0,A,True,1.0,0.3161,0.2379,0.2377,0.2082,0.8457,0.2389,,stage4_8,cost_l22_deflect
137,2,D,True,1.0,0.2293,0.3056,0.2353,0.2298,0.3857,0.6529,,stage4_8,cost_l22_deflect
138,3,A,True,1.0,0.3036,0.2356,0.2508,0.21,0.0793,0.9286,,stage4_8,cost_l22_deflect
139,3,E,False,0.0,0.3072,0.2377,0.2532,0.202,-0.9286,0.8357,,stage4_7,cost_l22_deflect
140,1,A,False,0.0,0.2574,0.2533,0.2333,0.256,-0.0789,0.071,,stage4_8,cost_l22_deflect
141,3,F,False,0.1037,0.3106,0.2397,0.2463,0.2034,-0.7321,0.7625,6.195,stage4_7,cost_l22_deflect
142,2,A,True,1.0971,0.2334,0.3037,0.2342,0.2288,0.4443,0.6973,6.285,stage4_7,cost_l22_deflect
143,2,F,False,0.0502,0.235,0.3064,0.2283,0.2303,-0.6471,0.6326,6.928,stage4_7,cost_l22_deflect
144,0,A,True,1.2135,0.3258,0.2344,0.2343,0.2055,0.9747,0.3363,4.688,stage4_7,cost_l22_deflect
145,0,D,False,-0.3,0.3289,0.2286,0.2358,0.2066,-0.6363,0.2727,,stage4_7,cost_l22_deflect
146,0,E,False,0.0,0.3302,0.2292,0.2364,0.2043,-0.2727,0.2454,,stage4_7,cost_l22_deflect
147,0,F,False,0.0619,0.3311,0.2296,0.2347,0.2046,-0.1835,0.2271,6.768,stage4_7,cost_l22_deflect
148,1,D,False,0.0,0.2577,0.2526,0.2334,0.2562,-0.071,0.0639,,stage4_8,cost_l22_deflect
149,1,A,False,0.2067,0.259,0.2522,0.233,0.2558,0.1428,0.0782,4.782,stage4_7,cost_l22_deflect
150,0,A,True,1.0935,0.3397,0.2266,0.2316,0.2021,0.8664,0.3137,6.335,stage4_7,cost_l22_deflect
151,3,D,True,1.0,0.3095,0.2419,0.2456,0.203,0.2375,0.7863,,stage4_8,cost_l22_deflect
152,3,F,True,1.0,0.3085,0.2413,0.2476,0.2026,0.2137,0.8077,,stage4_8,cost_l22_deflect
153,0,F,False,0.0,0.3414,0.2273,0.2287,0.2027,-0.3137,0.2823,,stage4_8,cost_l22_deflect
154,0,D,False,-0.3,0.3444,0.222,0.23,0.2036,-0.5823,0.2241,,stage4_7,cost_l22_deflect
155,1,F,False,0.0,0.2593,0.2524,0.2323,0.256,-0.0782,0.0703,,stage4_8,cost_l22_deflect
156,3,E,True,1.0,0.3077,0.2409,0.2472,0.2042,0.1923,0.8269,,stage4_7,cost_l22_deflect
157,2,D,True,1.0,0.2337,0.31,0.2271,0.2291,0.3674,0.6693,,stage4_8,cost_l22_deflect
158,2,D,True,1.0,0.2326,0.3133,0.226,0.228,0.3307,0.7024,,stage4_8,cost_l22_deflect
159,1,D,False,0.0,0.2595,0.2517,0.2325,0.2562,-0.0703,0.0633,,stage4_8,cost_l22_deflect
160,2,E,False,0.0,0.2343,0.3164,0.2276,0.2217,-0.7024,0.6322,,stage4_7,cost_l22_deflect
161,0,F,False,0.0,0.3456,0.2224,0.2279,0.204,-0.2241,0.2017,,stage4_8,cost_l22_deflect
162,2,F,True,0.8806,0.2337,0.3153,0.2299,0.2212,0.2485,0.657,9.255,stage4_7,cost_l22_deflect
163,3,D,True,1.0516,0.3067,0.243,0.2465,0.2038,0.2247,0.8494,6.91,stage4_7,cost_l22_deflect
164,2,A,True,0.961,0.2365,0.3139,0.2291,0.2205,0.304,0.6874,8.152,stage4_7,cost_l22_deflect
165,0,D,False,0.1836,0.3457,0.2223,0.2279,0.2041,-0.0181,0.1999,5.099,stage4_7,cost_l22_deflect
166,1,A,False,0.0,0.2589,0.2519,0.2327,0.2564,-0.0633,0.057,,stage4_8,cost_l22_deflect
167,0,D,False,-0.3,0.3483,0.2178,0.229,0.2049,-0.4999,0.1499,,stage4_7,cost_l22_deflect
168,1,F,False,0.0,0.2591,0.2521,0.2322,0.2566,-0.057,0.0513,,stage4_8,cost_l22_deflect
169,2,D,True,0.9734,0.2355,0.3167,0.2282,0.2196,0.286,0.716,7.982,stage4_7,cost_l22_deflect
170,1,F,False,-0.0297,0.2594,0.2524,0.2314,0.2569,-0.081,0.0432,8.025,stage4_7,cost_l22_deflect
171,1,D,False,-0.4703,0.2611,0.2475,0.2328,0.2586,-0.5135,-0.0082,14.068,stage4_7,cost_l22_deflect
172,1,A,True,1.2347,0.2731,0.2435,0.2292,0.2542,1.2429,0.1161,4.398,stage4_7,cost_l22_deflect
173,1,D,False,-0.4703,0.2752,0.2381,0.2307,0.256,-0.5864,0.0575,14.068,stage4_7,cost_l22_deflect
174,3,E,False,0.0,0.31,0.2449,0.2485,0.1965,-0.8494,0.7644,,stage4_7,cost_l22_deflect
175,1,F,False,0.0,0.2754,0.2383,0.2302,0.2562,-0.0575,0.0517,,stage4_8,cost_l22_deflect
176,1,D,False,-0.4703,0.2773,0.2335,0.2315,0.2578,-0.522,-0.0005,14.068,stage4_7,cost_l22_deflect
177,2,F,True,1.0,0.2348,0.3154,0.2308,0.219,0.284,0.7444,,stage4_8,cost_l22_deflect
178,3,A,True,0.9206,0.3116,0.2444,0.2479,0.1962,0.1562,0.78,8.706,stage4_7,cost_l22_deflect
179,0,A,True,1.0,0.3568,0.2149,0.2259,0.2024,0.8501,0.2349,,stage4_8,cost_l22_deflect
