step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
92,3,D,True,1.0,0.2853,0.2468,0.2263,0.2417,0.3541,0.6813,8.197,stage4_7,cost_asr
93,3,D,True,1.0,0.284,0.2498,0.2255,0.2407,0.3187,0.7132,,stage4_8,cost_asr
94,0,A,True,1.0,0.3095,0.2259,0.2371,0.2276,0.8248,0.2577,,stage4_8,cost_asr
95,0,D,False,0.0,0.3106,0.2235,0.2377,0.2282,-0.2577,0.2319,5.099,stage4_7,cost_asr
96,1,D,False,0.0,0.266,0.2505,0.2352,0.2484,-0.1546,0.1392,,stage4_8,cost_asr
97,0,A,True,1.0,0.3182,0.2211,0.235,0.2256,0.7681,0.3087,4.688,stage4_7,cost_asr
98,3,F,True,1.0,0.283,0.249,0.2281,0.24,0.2868,0.7419,,stage4_8,cost_asr
99,1,A,False,0.0,0.2647,0.2509,0.2356,0.2488,-0.1392,0.1252,,stage4_8,cost_asr
100,0,E,False,0.0,0.3196,0.2218,0.2357,0.2229,-0.3087,0.2779,,stage4_7,cost_asr
101,1,A,False,0.0,0.2635,0.2514,0.2359,0.2492,-0.1252,0.1127,,stage4_8,cost_asr
102,1,E,False,0.0,0.2638,0.2517,0.2362,0.2482,-0.1127,0.1014,,stage4_7,cost_asr
103,0,E,False,0.0,0.3209,0.2223,0.2364,0.2204,-0.2779,0.2501,,stage4_7,cost_asr
104,1,D,False,0.0,0.2642,0.2508,0.2365,0.2485,-0.1014,0.0913,,stage4_8,cost_asr
105,0,F,False,0.0,0.3221,0.2229,0.2341,0.2209,-0.2501,0.2251,,stage4_8,cost_asr
106,3,A,True,1.0,0.2855,0.248,0.2273,0.2392,0.2581,0.7677,4.599,stage4_7,cost_asr
107,3,F,True,1.0,0.2846,0.2474,0.2294,0.2386,0.2323,0.7909,10.282,stage4_7,cost_asr
108,1,D,True,1.0,0.261,0.2594,0.234,0.2457,0.9087,0.1822,14.812,stage4_7,cost_asr
109,2,A,True,1.0,0.3008,0.2581,0.2226,0.2185,0.4494,0.5955,,stage4_8,cost_asr
